"Отметка времени","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?"
"2016/10/10 9:41:38 ПП GMT+3","слева от вазы","справа от вазы","за вазой","перед вазой","перед вазой","за вазой","слева от вазы","перед вазой","за апельсином","справа от вазы, перед яблоком","за вазой","перед вазой","на краю стола, у стула","на краю стола","рядом с вазой","рядом с вазой","на столе, ближе к краю","на краю стола","перед вазой","на краю стола, рядом со стулом","у вазы","перед вазой","возле стула","на столе","справа на столе","у края стола","его нза вазой","перед вазой","слева от вазы","справа от вазы"
"2016/10/10 11:01:08 ПП GMT+3","слева от вазы","справа от вазы","позади вазы","перед вазой","на краю стола","прямо за вазой","на столе","у вазы","за апельсином","на столе","за вазой","у края стола","на краю стола","сейчас упадет","под вазой","у вазы","у края","на краю","справа от вазы","на краю","под вазой","под вазой","на краю","на столе","на краю","на краю","хз","на столе","на столе","у вазы"
"2016/10/10 11:34:52 ПП GMT+3","слева от диско шара","справа от диско шара","сверху от тарелки","снизу от тарелки","на краю стола","рядом с диско шаром","слева от диско шара","справа от диско шара","рядом с апельсном","рядом с яблоком","рядом с тарелкой","на краю стола","на краю стола","на краю стола","рядом с диско шаром","рядом с диско шаром","на краю стола","на краю стола","рядом с тарелкой","на краю стола","рядом с диско шаром","между диско шаром и краем стала ","на краю стола","между диско шаром и краем стала ","на краю стола","на краю стола","за тарелкой","на столе","слева от диско шара","справа от диско шара"
"2016/10/11 12:33:33 ДП GMT+3","на третьей орбитали от вазы","на второй орбитали от вазы","в третьем кольце от края стола","в третьем кольце от края стола","ближе к краю стола и ко мне","за вазой и дальше от меня","на четвертой орбитали","на второй орбитали","за апельсином","перед яблоком","на третьей орбитали от вазы","на третьей орбитали от края стола","на противоположной от меня стороне","передо мной","на первой орбитали","на третьей орбитали","на второй орбитали от края","на первой орбитали от края","на третьей орбитали от центра","на пятой орбитали от центра","на первой орбитали от вазы","на третьей орбитали от вазы","на последней орбитали от вазы","на центральной орбитали","на первой орбитали от края","на второй орбитали от края","нигде","справа от вазы","на центральной орбитали","на второй орбитали от вазы"
"2016/10/11 1:25:47 ДП GMT+3","дальше от вазы, чем яблоко","справа от вазы","за вазой","перед вазой","почти на краю стола","вот прям вот совсем около вазы","слева от вазы","справа от вазы","за апельсином","перед яблоком","около вазы","на столе","близко к стулу","на краю стола","около вазы","около вазы","на столе","на краю стола","около вазы","на столе","около вазы","чуть дальше от вазы чем апельсин","на краю стола","где то по середине","ближе к краю","тоже близко к краю","а он есть?","на столе","слева от вазы","справа от вазы"
"2016/10/11 1:30:29 ДП GMT+3","слева от центра","справа от центра","за вазой","перед вазой","на краю стола","под вазой","слева от вазы","справа от вазы","за апельсином","перед яблоком","за вазой","на краю","на краю","на краю","перед вазой","справа от вазы","над водой","над водой","справа от вазы","между вазой и стулом","под вазой","перед вазой","справа","чуть левее","справа","на краю стола","нет его","справа от вазы","слева от вазы","справа от вазы"
"2016/10/11 7:34:13 ДП GMT+3","слева от вазы","справа от вазы","сзади вазы","спереди вазы","спереди около края стола","почти касается вазы","слева от вазы","около вазы напротив стула","рядом с апельсином","справа около вазы","за вазой","далеко от вазы перед ней","ближе краю около стула","на другом краю напротив яблока","спереди от вазы","справа от вазы","напротив апельсина","на краю стола","справа от вазы","напротив стула","слева касается вазы","спереди","справа на краю стола","напротив стула","справа на краю стола","сзади на краю стола","за вазой","правее вазы","левее вазы","рядом с вазой справа"
"2016/10/11 9:36:35 ДП GMT+3","слева от какого-то дискобола","справа от какого-то дискобола","к северу от тарелки","к югу от тарелки ","на краю стола к югу от дискобола","вблизи дискобола на север","справа от дискобола","на юго-востоке вблизи дискобола","возле апельсина","возле яблока","на столе над тарелкой","на юго-востоке от тарелки на краю стола","на северо-востоке от дискобола","на юго-западе от дискобола на краю стола","на юг возле дискобола","на восток от дискобола","на юго-востоке от дискобола на краю стола","на северо-западе от дискобола на краю стола","справа от тарелки","на северо-востоке от тарелки","слева возле дискобола","южнее дискобола на столе","справа от кислотной миски на краю стола","на юго-запад от кислотной миски ","на востоке от миски на краю стола","на северо-запад от миски","неизвестно ","на юго-восток от миски","слева от миски","справа от миски "
"2016/10/11 10:58:46 ДП GMT+3","Слева от вазы","Над вазой","Над вазой","Под вазой","На краю стола","У вазы","На середине стола (слева от вазы)","У вазы справа","У апельсина","Ближе к вазе","Над вазой","Ближе к краю стола","Над вазой (ближе к стулу)","Под вазой (на краю стола)","Под вазой","Справа от вазы","Справа от вазы","На краю стола слева","Справа от вазы","Над вазой","Рядом с вазой","Под вазой","На краю стола","На середине стола","На краю стола справа","На верху стола ","Его нет","На столе","Слева от вазы","Справа от вазы"
"2016/10/11 6:51:50 ПП GMT+3","слева от вазы","справа от вазы","за вазой","перед вазой","ближе к краю стола","у вазы","слева от вазы","справа от вазы","справа от вазы за апельсином","справа от вазы","за вазой","у края стола","за вазой","у края стола","снизу и левее от вазы","справа от вазы","справа и снизу от вазы","слева и выше от вазы","справа снизу от вазы","справа сверху от вазы","слева у вазы","снизу от вазы","справа у края стола","слева и перед вазой","справа и снизу от вазы","слева и сверху стола","не знаю","справа от вазы","слева от вазы","справа от вазы"
"2016/10/11 6:59:39 ПП GMT+3","слева от плошки","около плошки","за плошкой","перед плошкой","с краю","около плошки ","слева от плошки","около плошки","с краю ","справа от плошки","за плошкой","перед плошкой","с краю","на краю","перед плошкой","справа от плошки","на краю справа","слева с краю","справа от плошки","за плошкой","слева около плошки","перед плошкой","с краю","слева перед плошкой","с краю","за плошкой","за плошкой","около плошки","слева от плошки","справа около плошки"
"2016/10/11 7:08:51 ПП GMT+3","рядом с вазой","рядом с вазой","на столе","на столе","на краю стола","за вазой","на столе","рядом с вазой","рядом с апельсином","рядом с яблоком","за вазой","на столе","на краю стола","на краю стола","рядом с вазой","рядом с вазой","на краю стола","на краю стола","рядом с вазой","на столе","под вазой","на столе","на краю стола","перед вазой","на краю стола","на краю стола","за вазой","перед вазой","на столе","рядом с вазой"
