"Отметка времени","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?"
"2016/10/10 9:46:58 ПП GMT+3","слева от вазы","справа от вазы","рядом со стулом, на краю стола","на краю стола","перед вазой","за вазой","за вазой","перед вазой","перед вазой","за вазой","слева на краю стола","справа на краю стола","слева от вазы","слева от вазы","перед вазой","за вазой","слева от вазы","перед вазой","в третьей четверти стола","в четвертой четверти стола","слева у края стола","справа у края стола","возле вазы","на краю стола"
"2016/10/10 11:38:43 ПП GMT+3","слева от тарелки","справа от тарелки","справа на краю стола","слева на краю стола","рядом с тарелкой","на краю стола","за тарелкой","рядом с тарелкой","рядом с тарелкой","за тарелкой","слева на краю стола","справа на краю стола","слева от тарелки","снизу от таелки","рядом с тарелкой","за тарелкой","слева от тарелки","справа от тарелки","слева от тарелки","справа от тарелки","слева от диско шара","справа от диско шара","рядом с диско шаром","на краю стола"
"2016/10/11 12:38:59 ДП GMT+3","в третьем кольце от края стола","на третьей орбитали от вазы","на предпоследней орбитали от вазы","на последней орбитали","перед вазой","вдали","в пространстве вероятностей","перед вазой","перед вазой","в пространстве вероятностей","слева от меня","справа от меня","на третьей орбитали от края","на третьей орбитали от центра","на первой орбитали от центра","неизвестно","на второй орбитали от центра","на четвертой орбитали от центра","на четвертой орбитали от центра","на пятой орбитали от центра","на первой орбитали от края","на второй орбитали от края","на первой орбитали от центра","на последней орбитали от центра"
"2016/10/11 1:33:02 ДП GMT+3","слева от вазы","справа от вазы","на краю","на краю","перед вазой","на краю ","его нет","перед вазой","перед вазой","нет его","на краю","на краю","слева от вазы","слева от вазы","перед вазой","нет его","слева от вазы","юго-восток","между стулом и вазой","между стулом и вазой","на краю стола","справа от вазы","перед вазой","на краю стола"
"2016/10/11 1:46:58 ДП GMT+3","Слева от плошки/за плошкой","Справа от плошки/перед плошкой","За плошкой","Перед плошкой","Перед плошкой","За плошлой слева","Целиком за плошкой","Перед плошкой","Перед плошкой","Целиком за плошкой","Слева от плошки","Справа от плошки","Слева от плошки","Перед плошкой","Перед плошкой","За плошкой","Возле плошки слева","Справа от плошки","Слева от плошки","Справа от плошки","Слева от плошки","Справа от плошки","Прямо перед плошкой","За плошкой"
"2016/10/11 7:43:25 ДП GMT+3","левее вазы","правее вазы","близко к стулу","напротив яблока на другом краю","перед вазой","левее за вазой","за вазой","перед вазой","левее перед вазой","за вазой","слева на краю стола","напротив апельсина","слева от вазы","ближе к центру","левее около вазы","за вазой","слева рядом с вазой","правее далеко от вазы","в 3 четверти стола","в 4 четверти стола","слева на краю стола","справа ближе к краю стола","правее около вазы","на краю стола напротив апельсина"
"2016/10/11 9:07:56 ДП GMT+3","Близко к краю","Близко к плошке","Близко к краю","Почти у края","Близко к плошке","За плошкой","За плошкой","Справа и впереди от плошки","Слева впереди от плошки","За плошкой","На краю","Близко к краю","Рядом с плошкой","Посередине стола","Впереди плошки","За плошкой","Слева от плошки","Посередине стола","Посередине стола","Посередине стола","На краю стола","Близко к краю","Рядом с плошкой","На краю"
"2016/10/11 9:46:36 ДП GMT+3","слева от миски","справа от миски","слева от миски на краю стола","справа от миски на краю стола","снизу от миски на столе","сверху слева от миски","неизвестно","снизу возле вазы","снизу под вазой ","неизвестно","слева от вазы на краю стола","справа от вазы на краю стола","слева от вазы","слева от вазы","снизу возле вазы","неизвестно","слева от вазы","справа от вазы","слева от вазы","справа от вазы","слева от вазы на краю стола","справа от вазы на краю стола","снизу возле вазы","справа над вазой на краю стола"
"2016/10/11 10:01:55 ДП GMT+3","Ближе к красному стулу ","Ближе к миске ","Напротив апельсина ","Ближе к зрителю ","Ближе к зрителю ","Дальше от зрителя","В другой комнате ","Около миски ","Ближе к зрителю ","В Марокко ? ","На краю стола","На другом краю стола ","На столе ","Недалёко от яблока ","Около миски ","Неизвестно ","Около миски ","Чуть дальше от мраки ","На левой половине стола","На правой половине стола ","Напротив яблока ","Правее миски ","Около миски ","На краю стола "
"2016/10/11 10:49:58 ДП GMT+3","слева у края стола","справа ниже от плошки","около верхнего стула","слева по-центру ","на столе перед нами","на другом конце стола","предположительно за миской","перед миской","перед миской","нет","на краю стола","на противоположном краю","левее выше от миски","левее ниже","рядом с миской","не видно","слева от миски","укатился","слева от миски","справа от миски","слева","справа","справа, около миски","вверху стола, слева"
"2016/10/11 10:51:12 ДП GMT+3","Напротив яблока","Напротив апельсина","На краю стола","Перед зрителем","Перед зрителем","Далеко от зрителя","Его не видно","Перед плошкой ","Перед плошкой ","Его не видно","Напротив яблока","Напротив апельсина","У края стола","Перед зрителем","Перед плошкой ","Его не видно","У плошки","Справа от зрителя","Напротив яблока ","Напротив апельсина","На краю стола","На краю стола","Перед плошкой","На краю стола "
"2016/10/11 2:55:28 ПП GMT+3","справа от плошки","слева от плошки","на юго-запад от плошки","на северо-восток от плошки","перед плошкой","за плошкой","за плошкой","перед плошкой","перед плошкой","за плошкой","слева от плошки","справа от плошки","на запад от плошки","на юго-запад от плошки","перед плошкой","за плошкой","слева от плошки","справа от плошки","слева от плошки","справа от плошки","слева от плошки","слева от плошки","справа от плошки","на северо-запад от плошки"
"2016/10/11 7:30:28 ПП GMT+3","на 10 часов","на 3 часа","на два часа","на 8 часов","на семь часов","на 11 часов","его не видно","на пять часов","на 7 часов","его не видно","на 11 часов","на 4 часа","на 10 часов","на 8 часов","на 8 часов","его не видно","на 9 часов","на 4 часа","на 9 часов","на 3 часа","на 9 часов","на 3 часа","на 5 асов","на 11 часов"
