"Отметка времени","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?"
"2016/10/10 10:52:54 ПП GMT+3","возле миски","между миской и краем","перед миской","возле миски","за миской","у края","у края","у края ","возле миски","между миской и краем","за миской","между миской и краем","перед миской ","у края","у края","возле миски","возле миски","между миской и краем","за миской","перед миской","у края","за миской","между миской и краем","у миски","возле миски","за апельсином"
"2016/10/10 11:51:34 ПП GMT+3","слева","с краю","снизу","слева","за чашкой","справа","слева","справа","слева","снизу","за чашкой","справа","справа","сверху","слева","справа","справа","слева","за чашкой","слева","снизу","слева","слева","справа","справа","справа"
"2016/10/11 12:01:58 ДП GMT+3","перед миской","слева от миски","перед миской","за миской","за миской","справа от миски","перед миской","за миской","слева от миски","перед миской","за миской","перед миской","перед миской","за миской","за миской","перед миской","справа от миски","слева от миски","за миской","перед миской","перед миской","за миской","слева от миски","справа от миски","справа от миски","справа от миски (потому что там же где и апельсин; было бы одно - было бы за миской)"
"2016/10/11 12:11:01 ДП GMT+3","слева от миски","слева от миски","перед миской","слева от миски","за миской","справа от миски","перед вазой","за вазой","слева от вазы","справа от вазы","за вазой","перед вазой","перед вазой","за вазой","слева на краю стола","возле вазы","справа от вазы","слева от вазы","за вазой","перед вазой","перед вазой","за вазой","слева от вазы","справа от вазы","рядом с яблоком","рядом с апельсином"
"2016/10/11 6:58:43 ПП GMT+3","Ближе к миске","Дальше от миски","Далеко от миски","Близко к миске","За миской почти","На краю стола","Я ваще в отрубе","Между сингулярностью и стулом","Слева от миски","Дальше, чем яблоко, от миски","Нет его","Перед миской","Перед миской","Позади миски","На краю стола","Возле миски","Справа от миски","Слева от миски","Опять нет","На столе","На краю стола","Около миски","Вон там","Вот здесь","Около яблока","Между миской и стулом"
"2016/10/11 7:12:06 ПП GMT+3","Слева от миски","Перед миской, пониже","Близко к миске, слева","Почти на краю стола","Справа от миски","За миской","На краю стола сзади","На краю стола спереди","Посередине","У миски","Посередине","За миской","На миске","Перед миской прям под ней","Перед миской","За миской на краю","Слева","Справа","Перед мискоц","Неизвестно","Близко к миске","У края спереди","Рядом с миской","Посередине","Рядом с яблоком","Рядом с апельсином"
"2016/10/11 7:23:25 ПП GMT+3","недалеко от миски","напротив миски","напротив миски","возле миски","за миской","напротив миски","на расстоянии от миски","напротив миски","возле миски","напротив миски","за миской","возле миски","возле миски","за миской","напротив миски","под миской","возле миски","возле миски","за миской","возле миски","напротив миски","возле миски","около миски","возле миски","возле миски","напротив миски"
"2016/10/11 7:32:54 ПП GMT+3","перед миской, справа от яблока на расстоянии ладони","перед миской, слева от яблока на расстоянии ладони","на 6 часов по отношению к апельсину","на 10 часов по отношению к яблоку","за миской на расстоянии ладони от яблока","справа от миски на расстоянии ладони от апельсина","на одной линии с яблоком проходящей через центр стола (центр здесь миска). стрелка на 7 часов","на одной линии с апельсином проходящей через центр стола (центр здесь миска). стрелка на час","слева от миски. на 9 часов","справа перед миской. на 4 часа","за миской","перед миской. стоит дальше правой границы миски","перед миской. в границах тени правой половины миски","за миской на краю стола. в границах левой половины миски","на левом краю стола. стрелка на 11 часов","в границе тени правой половины миски. стрелка на 4 часа","на правой половине стола","на левой половине стола","не виден. вопрос, а присутствует ли он на изображении. Если презюмируется, что он присутствует, то он строго за миской.","перед миской в границах тени левой половины миски","перед миской. на краю стола. стрелка на 5 часов.","на близком расстоянии за миской. стрелка на 53 минуты","слева от миски. стрелка на 48 минут. на расстоянии кулака от миски. в границах верхней половины миски","справа от миски. стрелка на 18 минут. на расстоянии трех пальцев от миски. в границах нижней половины миски","справа от миски. на расстоянии 4 пальцев от миски. стрелка на 2 часа","справа от миски. выше апельсина с отклонением на 10 градусов. стрелка на 8 минут"
"2016/10/11 7:34:37 ПП GMT+3","по диагонали слева внизу миски","слева от миски","внизу далеко от миски ","рядом с миской слева","за миской справа","справа от миски","внизу стола слева по диагонали от миски","вверху справа по диагонали от миски","справа рядом с миской","справа внизу по диагонали от миски","за миской чуть справа","перед пиской справа","перед миской чуть справа","далеко за миской чуть левее","слева вверху по диагонали от миски","справа внизу по диагонали рядом с миской","справа от миски","слева от миски","за миской","перед миской слева по диагонали","справа внизу ","рядом с миской слева по диагонали","слева по диагонали","справа рядом с миской","справа по диагонали вверху","справа по диагонали вверху"
"2016/10/11 7:53:27 ПП GMT+3","на столе","на столе","на столе","на столе","за миской","справа от миски","на столе","на столе","у миски","на столе","за миской","на столе","перед миской","на миске","у края стола","возле миски","справа от миски","слева от миски","не знаю(","перед миской","ближе к краю стола","возле миски","слева от миски","справа от миски","рядом с яблоком","рядом с апельсином"
"2016/10/11 8:08:02 ПП GMT+3","перед вазой","слева","спереди","слева","за вазой","справа","спереди","сзади","слева","на юго-востоке","за вазой","справа","перед вазой","за вазой","слева с к раю","справа от вазы","справа","слева","хуй знает, за вазой, видимо","перед вазой слева","спереди","за вазой слева","слева","справа","справа","рядом с апельсином"
"2016/10/11 9:13:33 ПП GMT+3","Возле миски","Слева от апельсина","Перед миской","Чуть слева, сзади от миски","Справа за миской","Справа от миски","На крае стола","На противоположном крае","Слева от миски","Справа, чуть ближе","За миской","Справа, перед миской","Возле миски","С другой стороны, на крае стола","На крае стола","Возле миски","Справа от миски","Слева от миски","Не видно его","Перед миской","На крае, перед миской","Слева за миской","Слева от миски","Справа, чуть ближе к миске","Возле миски","Рядом с апельсином"
"2016/10/11 9:22:06 ПП GMT+3","справа от вазочки","справа от вазочки","перед вазочкой","справа от вазочки","за вазочкой","у края слева","за вазочкой","перед вазочкой","справа от вазочки","слева от вазочки","за вазочкой","перед вазочкой","перед вазочкой","на краю за вазочкой","на краю","перед вазочкой","слева от вазочки","справа от вазочки","за вазочкой","перед вазочкой","перед вазочкой","справа от вазочки","справа от вазочки","слева от вазочки","слева от вазочки","слева от вазочки "
"2016/10/11 9:50:18 ПП GMT+3","Перед миской","Слева от миски","Перед миской","Слева от миски","За миской","Справа от миски","Перед миской","За миской","Слева от миски","Справа от миски","За миской","Перед миской","Перед миской","За миской","Слева от миски","Около миски","Справа от миски","Слева от миски","За миской","Перед миской","Перед миской","За миской","Слева от миски","Справа от миски","Справа от миски","Справа от миски"
"2016/10/11 10:07:30 ПП GMT+3","перед миской","слева от миски","перед миской","около миски","за миской","слева от миски","перед миской","сзади миски","около миски","перед миской","ща миской","перед миской","перед миской","сзади миски","сзади миски","перед миской","справа от миски","слева от миски","за миской","перед миской","перед миской","сзади миски","слева от миски","перед миской","справа от миски","справа от миски за апельсином"
"2016/10/11 10:44:32 ПП GMT+3","слева перед миской","слева от миски","перед миской","слева за миской","за миской","права от миски","перед миской","за миской","слева от миски","справа от миски","за миской","справа перед миской","перед миской","за миской","слева за миской","перед миской","справа от миски","слева от миски","(наверно) за миской","перед миской","перед миской","за миской","слева от миски","справа от миски","справа за миской","справа за миской, за апельсином"
"2016/10/11 11:45:44 ПП GMT+3","На семь часов на расстоянии полурадиуса от центра стола","На третьем окружном узоре стола шестьюдесятью градусами по часовой стрелке от апельсина","На шесть часов на расстоянии диаметра миски от центра","Слева от вазы да чуть поодаль","Из-за вазы торчит справа вон","На полпути к пропасти вправо","Почти в молоко","Катится к ближайшему к столу стулу","Подкралось к миске слева","Валяется на столе между миской и синим стулом","Спрятался за мисочкой, только ушки торчат","Пытается нащупать путь к центру","На передке","Сейчас ебнется","Катится к хуям","Вон же","Справа и чуток подальше","Слева и чуток поближе","Спиздили","Лежит на внутреннем круге посередине третьей четверти","Бля, чувак","Пристает к вазе сзади-слева","Между вазой и краем стола, промеж девяти и десяти","Рядышком ","Дружит с яблочком","Пытается съебать от апельсина"
"2016/10/11 11:49:42 ПП GMT+3","к юго-западу от миски","к северо-западу от миски дальше чем апельсин","под миской далеко","к северо-западу от миски близко","за миской","справа от миски","к юго-западу от миски","к северо-востоку от миски","слева от миски","к юго-востоку от миски","за миской","справа от миски и чуть ближе ","перед миской справа","за миской далеко и левее","далеко от миски слева вверху","рядом с миской справа внизу","справа от миски","слева от миски","за миской?","слева от миски и чуть ближе","под миской и чуть правее и далеко от нее","слева вверху за миской","слева от миски и чуть выше","справа от миски и чуть ниже","справа от миски и чуть выше","за апельсином и чуть выше"
"2016/10/12 6:00:53 ДП GMT+3","Слева от миски","Левее апельсина","Перед миской","Слева от миски","Справа от миски ","Правее чем апельсин","Слева от миски","Справа от миски","Слева от миски","Справа от миски","За миской","Справа от миски","Справа от миски","Далеко ща миской ","Слева от миски ","Справа от миски ","Справа от миски ","Слева от миски ","Его нет или она за миской ","Слева от миски ","Справа от миски","Слева от миски","Слева  от миски","Справа  от миски","Справа от миски ","Левее апельсина и немного за ним"
"2016/10/12 3:06:20 ПП GMT+3","от стула за миской","от стула справа от миски","от стула за миской и правее","от стула справа от миски","между стулом и миской","от стула слева от миски","в дальней части стола от стула","на ближайшем к стуле краю стола","между стульями с неголубыми сидушками","между голубым стулом и миской","между миской и коричневым стулом","от серого стула за миской ","справа за миской от серого стула","на краю стола, ближайшего к стульм","между стульями с неголубой сидушкой","между голубым стулом и миской","за миской от коричневой части стола","перед миской от коричневой части стола","неизвестно","от коричневого стула за миской","слева на краю стола от голубого стула","за миской от голубого стула","за миской от двух ближайших друг к другу стульев","перед миской слева от  двух ближайших друг к другу стульев","  перед миской справа от  двух ближайших друг к другу стульев","между миской и правым стулом, если смотреть сто стороны двух ближайших друг к другу стульев"
